Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
New Space;2,4;"52.0%
113/235
Safety, Risk, Reliability and Quality";227;95;58;0,816;0,515;Mary Ann Liebert
Health Marketing Quarterly;2,4;"52.0%
11/22
General Health Professions";217;89;66;0,519;0,329;Taylor & Francis
Proceedings of Institution of Civil Engineers: Management, Procurement and Law;2,4;"51.0%
114/235
Safety, Risk, Reliability and Quality";142;60;80;0,293;0,327;ICE Publishing Ltd.
International Journal of Customer Relationship Marketing and Management;2,4;"50.0%
95/190
Information Systems and Management";117;49;71;0,415;0,21;IGI Global Publishing
International Journal of Information Systems in the Service Sector;2,4;"51.0%
93/190
Information Systems and Management";165;68;75;0,223;0,235;IGI Global Publishing
Contemporary Management Research;2,4;"45.0%
397/731
Economics and Econometrics";79;33;58;0,29;0,231;Academy of Taiwan Information Systems Research
Journal of Innovation Management;2,4;"49.0%
135/264
Engineering (miscellaneous)";272;113;50;0,431;0,293;Universidade do Porto - Faculdade de Engenharia
Journal of Management, Spirituality and Religion;2,4;"95.0%
35/705
Religious Studies";266;112;70;0,554;0,491;International Association of Management, Spirituality and Religion
Journal of International Commerce, Economics and Policy;2,4;"47.0%
174/333
Finance";170;72;61;0,619;0,407;World Scientific
Eastern-European Journal of Enterprise Technologies;2,4;"54.0%
302/665
Applied Mathematics";5524;2293;60;0,597;0,274;Technology Center
International Journal of Tourism Anthropology;2,4;"81.0%
97/524
Anthropology";83;34;76;0,559;0,354;Inderscience Publishers
Current Issues in Auditing;2,3;"40.0%
108/182
Accounting";129;56;59;0,647;0,475;American Accounting Association
Decision Sciences Journal of Innovative Education;2,3;"58.0%
13/30
Decision Sciences (miscellaneous)";164;70;61;0,445;0,281;John Wiley & Sons
Revista Venezolana de Gerencia;2,3;"54.0%
379/841
Geography, Planning and Development";1832;794;62;0,663;0,221;Universidad del Zulia
International Journal of Accounting;2,3;"46.0%
177/333
Finance";140;62;65;0,709;0,476;World Scientific
Latin American Business Review;2,3;"49.0%
106/208
Business, Management and Accounting (miscellaneous)";133;57;60;0,459;0,316;Taylor & Francis
Howard Journal of Communications;2,3;"62.0%
202/535
Communication";272;120;63;0,848;0,37;Taylor & Francis
Journal of the International Council for Small Business;2,3;"50.0%
103/208
Business, Management and Accounting (miscellaneous)";305;130;63;0,574;0,326;Taylor & Francis
International Journal of Services Operations and Informatics;2,3;"41.0%
276/474
Information Systems";103;45;64;0,409;0,171;Inderscience Publishers
Disposables and Nonwovens;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Beta;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Scandinavian University Press
Monthly Labor Review;N/A;N/A;N/A;N/A;N/A;0,907;0,323;US Bureau of Labor Statistics
New Zealand Engineering;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IPENZ Publishing
Psychology of Leaders and Leadership;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Psychological Association
Psychologist-Manager Journal;N/A;N/A;N/A;N/A;N/A;0,751;0,146;American Psychological Association
Journal of Website Promotion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Euromarketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Emergency Health Services Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Logistics and Transportation Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of British Columbia
Journal of Pharmaceutical Marketing and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Ambulatory Care Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Hospitality and Leisure Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Airline Business;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Wuhan Daxue Xuebao/Journal of Wuhan University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Wuhan Daxue
National Geographic;N/A;N/A;N/A;N/A;N/A;N/A;N/A;National Geographic Society
ABA Bank Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Bankers Association
British Printer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;CMP Information Ltd.
International Nonwovens Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Rodman Publications Inc.
Weltwirtschaftliches Archiv;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Journal fur Betriebswirtschaft;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Blaetter der DGVFM;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
der markt;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
International Commerce Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
International Journal of IT Standards and Standardization Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IGI Global Publishing
Information Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IGI Global Publishing
Annals of Cases on Information Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IGI Global Publishing
Employee Relations Law Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Pulp and Paper Project Report;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Paperloop
Grammars;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
GENEVA Papers on Risk and Insurance Theory;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Paper Recycler;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Paperloop
International Journal of Value-Based Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
European Journal of Purchasing and Supply Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Review of Progress in Coloration and Related Topics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Society of Dyers and Colourists
Informacion Tecnologica;N/A;N/A;N/A;N/A;N/A;0,994;N/A;Centro de Informacion Tecnologica
T and D;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Society for Training and Development
Jishou Daxue Xuebao/Journal of Jishou University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Jishou Daxue/Jishou University
Dock and Harbour Authority;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Foxlow Publications Ltd.
Zeitschrift fur Planung und Unternehmenssteuerung;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Physica-Verlag
Total Telecom;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EMAP Business Communications
Canadian Accounting Perspectives;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cannadian Academic Accounting Association
Failure and Lessons Learned in Information Technology Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cognizant Communication Corporation
Taipei Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Kwang Hwa Publishing Co.
Journal of Health Care Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Center for Management Development, John A. Walker College of Business
Economist (United Kingdom);N/A;N/A;N/A;N/A;N/A;N/A;N/A;Economist Newspaper Ltd
Textile Network;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Meisenbach GmbH
Cutter Business Technology Journal;0;"3.0%
436/451
Business and International Management";3;132;2;0,003;0,104;Cutter Consortium
Soap and Cosmetics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cygnus Business Media Inc
Southern Graphics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cygnus Business Media Inc
Systems Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
International Journal of Nonprofit and Voluntary Sector Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
International Journal of Transport Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Operational Research Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
American Bankruptcy Law Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;National Conference of Bankruptcy Judges
Journal of Retail and Leisure Property;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Henry Stewart Publications
International Electronic Journal for Leadership in Learning;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Calgary Press
American Cartographer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Congress on Surveying and Mapping
Pipes and Pipelines International;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Scientific Surveys Ltd.
Accounting, Management and Information Technologies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Textile Leader;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Iternational Association for Great Lakes Research
Xibei Fangzhi Gongxueyuan Xuebao (Journal of Northwest Institute of Textile Science and Technology);N/A;N/A;N/A;N/A;N/A;N/A;N/A;Northwest Institute of Textile Science and Technology
Pipeline World;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Scientific Surveys Ltd.
Australian Computer Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Associated Business Publications Pty. Ltd.
CSIRO Textile News;N/A;N/A;N/A;N/A;N/A;N/A;N/A;CSIRO Publishing
Business Ethics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Gas Engineering and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Gas Engineers
Circuit Design;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Miller Freeman Publications
Business Strategy Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Journal of Consumer Studies & Home Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Huaqiao Daxue Xuebao/Journal of Huaqiao University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Huaqiao Daxue/Huaqiao University
Publishing Executive;N/A;N/A;N/A;N/A;N/A;N/A;N/A;North American Publishing Co.
Gas International;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Gas Engineers
Betriebswirtschaftliche Forschung und Praxis;N/A;N/A;N/A;N/A;N/A;0,035;0,108;Verlag Neue Wirtschafts-Briefe GmbH and Co
Journal for Weavers, Spinners and Dyers;0;"1.0%
441/451
Business and International Management";0;63;0;0;0,1;Association of Guilds of Weavers, Spinners and Dyers
Textile Outlook International;0;"4.0%
216/225
General Business, Management and Accounting";3;78;4;0;0,1;Textiles Intelligence Ltd.
Zeitschrift fur Personalpsychologie;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Hogrefe Publishers
Nippon Hoso Kyokai-NHK Laboratories Note;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Nippon Hoso Kyokai
Journal of Industry Studies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of New South Wales
Printed Circuit Design;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Miller Freeman Publications
M et T2;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Editions Vauclair
Organizational Analysis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Information Age Publishing Inc.
Customer Interactions Solutions;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Technology Marketing Corporation
Printed Circuit Fabrication;N/A;N/A;N/A;N/A;N/A;N/A;N/A;PMS Industries Inc.
Engineering Science and Education Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IEE
International Journal of Disability Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cambridge University Press
Australasian Journal of Organisational Psychology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cambridge University Press
Cornell Hotel and Restaurant Administration Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SAGE
Journal of Business Communication;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SAGE
Business Communication Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SAGE
Recherche et Applications en Marketing;N/A;N/A;N/A;N/A;N/A;0,786;0,547;SAGE
Journal of Hospitality and Tourism Cases;0;"1.0%
149/151
Tourism, Leisure and Hospitality Management";2;43;5;0;0,102;SAGE
Journal of Hospital Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Best Business Books
Journal of Medical Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SAGE
Career Development for Exceptional Individuals;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SAGE
Avtomatizatsiya i Sovremennye Tekhnologii;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Izdatel'stvo Mashinostroenie
Boxboard Containers International;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Maclean Hunter
Journal of the American Health Information Management Association;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Health Information Management Association
Research in Accounting Regulation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Investigaciones Europeas de Direccion y Economia de la Empresa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Cuadernos de Economia y Direccion de la Empresa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Research Policy: X;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Transport Economics and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Journal of Strategy and Innovation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Journal of Professional Services Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
ITS Journal: Intelligent Transportation Systems Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of the Textile Institute Proceedings;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Service Industries Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of the Textile Institute Proceedings and Abstracts;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Statyba;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Hospitality and Tourism Educator;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Performing Arts Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Tarsadalom as Gazdasag;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Akademiai Kiado
Journal of Customer Service in Marketing and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Public and Access Services Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Hospitality Financial Management;N/A;N/A;N/A;N/A;N/A;0,372;0,153;Taylor & Francis
Women in Management Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Journal of Science and Technology Policy in China;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Turizam;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institute for Tourism
TQM Magazine;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Journal of European Industrial Training;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Managing Service Quality;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Information Management and Computer Security;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
International Journal of Commerce and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Education, Business and Society: Contemporary Middle Eastern Issues;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Business Strategy Series;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Direct Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Management Research News;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
International Journal of Culture, Tourism and Hospitality Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emerald Publishing
Sheet Metal Industries;N/A;N/A;N/A;N/A;N/A;N/A;N/A;DMG world Media Ltd
School Organisation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Brill
British Journal of Education & Work;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Brill
Business, Peace and Sustainable Development;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Greenleaf Publishing
Textile Rental;0;"2.0%
161/167
Polymers and Plastics";0;293;0;0;0,1;Textile Rental Association of America
Ciencias de la Informacion;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Instituto de Informacion Cientifica y Tecnologica
Journal of Business;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Chicago
Veterinary Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Advanstar Communications Inc.
Memoirs of the Graduate School of Engineering, Kyushu University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Kyushu University, Faculty of Science
Journal of Professional Issues in Engineering Education and Practice;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Society of Civil Engineers
Fire Engineers Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Fire Engineers
Fire Prevention;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Fire Engineers
Hotel and Motel Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Advanstar Communications Inc.
Hotel Management;0;"1.0%
441/451
Business and International Management";0;88;0;N/A;0,101;Advanstar Communications Inc.
Memoirs of the Faculty of Engineering, Kyushu University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Kyushu University, Faculty of Science
Leadership and Management in Engineering;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Society of Civil Engineers
Journal of Database Marketing and Customer Strategy Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Pensions;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Journal of Direct, Data and Digital Marketing Practice;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Journal of Targeting, Measurement and Analysis for Marketing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
AutoTechnology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Economic and Labour Market Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Chief Engineer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Chief Engineers Association of Chicagoland
Journal of Industrial Organization Education;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Walter de Gruyter
Journal of Taxation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ria Thomson
Real Estate Taxation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ria Thomson
OCLC Newsletter;N/A;N/A;N/A;N/A;N/A;N/A;N/A;OCLC - Online Computer Library Center, Inc.
Post Marketing Surveillance;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Stuart Phillips Publications
Marketing Health Services;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Marketing Association
Marketing Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Marketing Association
Marketing Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;American Marketing Association
Statistical Journal of the United Nations Economic Commission for Europe;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IOS Press
Trziste;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Zagreb
Academy of Management Executive;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Academy of Management
Apparel International;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Cowise International Publishing Group
Hospital Purchasing Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;The Business World, Inc.
LCN-Laundry and Cleaning News;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Wilmington Publishing
Transportation Professional;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Highways and Transportation
Highways and Transportation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institution of Highways and Transportation
Journal of Organisational Transformation & Social Change;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Discovery and Innovation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Academy Science Publishers
IEEE Transactions on Engineering Writing and Speech;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IEEE
IRE Transactions on Engineering Writing and Speech;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IEEE
International Conference on Social Networks Analysis, Management and Security, SNAMS;0;"3.0%
179/190
Information Systems and Management";0;36;0;N/A;N/A;IEEE
Journal of Inter-Organizational Relationships;N/A;N/A;N/A;N/A;N/A;0,2;0,26;Taylor & Francis
Manager;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institute of Administrative Management
ITMS - International Scientific Conference on Information Technology and Management Science of Riga Technical University;0;"3.0%
179/190
Information Systems and Management";0;25;0;N/A;N/A;IEEE
Chronicle of Higher Education;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Chronicle of Higher Education, Inc.
Managing Leisure;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Plant Engineer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Society of Operations Engineers
Operations Engineer;0;"1.0%
387/402
Industrial and Manufacturing Engineering";0;249;0;N/A;0,1;Society of Operations Engineers
Ars Textrina;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Charles Babbage Research Centre
Huazhong Ligong Daxue Xuebao/Journal Huazhong (Central China) University of Science and Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Huazhong University of Science and Technology
International Journal of Strategic Change Management;N/A;N/A;N/A;N/A;N/A;0,08;0,126;Inderscience Publishers
Bobbin;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bobbin Media Corp.
Glueckauf Mining Reporter;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Verlag Glueckauf GmbH
Journal of Tongji Medical University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Huazhong University of Science and Technology
International Journal of Biotechnology;0;"0.0%
304/305
Management of Technology and Innovation";0;5;0;0;0,106;Inderscience Publishers
Wood Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Miller Freeman Publications
International Journal of Flexible Automation and Integrated Manufacturing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Begell House
Tekstil;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Croatian Association of Textile Engineers
SIGIR Forum (ACM Special Interest Group on Information Retrieval);N/A;N/A;N/A;N/A;N/A;N/A;N/A;Association for Computing Machinery
World Clothing Manufacturer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;World Textile Publications Ltd
Huabei Gongxueyuan Xuebao/Journal of North China Institute of Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Huabei Gongxueyuan
Wuhan Gongye Daxue Xuebao/Journal of Wuhan University of Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Wuhan University of Technology
Africa and Middle East Textiles;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Alain Charles Publishing Ltd
Book Research Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Transaction Periodicals Consortium
AAS History Series;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Univelt Inc.
Industrial Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institute of Industrial Engineers
Technology Innovation Management Review;N/A;N/A;N/A;N/A;N/A;0,994;0,537;Carleton University
Journal of Managerial Issues;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pittsburg State University
Journal of Vinyl Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Applied Stochastic Models and Data Analysis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Journal of Organizational Excellence;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Prace Naukowe Instytutu Organizacji i Zarzadzania Politechniki Wroclawskiej;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Wydawnictwo Politechniki Wroclawskiej
International Journal of Service Industry Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;MCB University Press
Bulletin of National Pingtung University of Science and Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Nat Pingtung Polytech Inst
Brand;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pira International Ltd
Singapore Management Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Singapore Institute of Managment
Journal of Information, Information Technology, and Organizations;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Informing Science Institute
Market Management: Marketing and Communication.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Editions Alexandre Lacassagne
International Journal of Museum Management and Curatorship;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Butterworths
Paper and Packaging Analyst;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pira International Ltd
Fuel Cells Bulletin;N/A;N/A;N/A;N/A;N/A;0,169;0,151;MA Healthcare Ltd
Corporate Environmental Strategy;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NetLogex
Revista de Quimica e Industria Textil;0;"2.0%
161/167
Polymers and Plastics";0;47;0;0;0,101;Asociacion Espanola de Quimicos y Coloristas Textiles
Industrial Fabrics Bulletin;N/A;N/A;N/A;N/A;N/A;N/A;N/A;International Textile Service
Geothermal Science and Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Medical Society of the District of Columbia
Paint and Coatings Industry;N/A;N/A;N/A;N/A;N/A;0;0,111;Business News Publishing Co.
Business Communications Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Key3Media Group, Inc.
Textile View2 Magazine;N/A;N/A;N/A;N/A;N/A;N/A;0,103;Metropolitan Publishing bv
Euratex Bulletin;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EURATEX
Journal of Information Systems and Small Business;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Deakin University
Free China review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;W.Y. Tsao
New Review of Applied Expert Systems and Emerging Technologies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor Graham Publishing
European Papermaker;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Arbor Publishing AB
New Review of Applied Expert Systems;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor Graham Publishing
BTRA Scan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bombay Textile Research Association
Tekstilna Industrija;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Savez inzenjera i tehnicara tekstilaca SR Srbije
Pipeline Report;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pipes and Pipelines International
European Journal of Economics, Finance and Administrative Sciences;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EuroJournals, Inc.
Journal of Digital Information Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Digital Information Research Foundation
McKinsey Quarterly;N/A;N/A;N/A;N/A;N/A;N/A;N/A;McKinsey and Co. Inc.
Journal of Marketing Channels;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Asia-Pacific Journal of Accounting;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Prakseologia;N/A;N/A;N/A;N/A;N/A;0;0,103;Polska Akademia Nauk
Journal of Hospital Marketing and Public Relations;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Tourism and Hospitality, Planning and Development;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Tianjin Institute of Textile Science and Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Tianjin College of Textile Technology
Research Journal of Business Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Academic Journals
Drapers;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emap Fashion Ltd.
Printed Circuit Design and Fab/Circuits Assembly;0;"4.0%
386/402
Industrial and Manufacturing Engineering";1;342;0;0;0,1;U P Media Group Inc.
Journal of Occupational Psychology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Infosecurity;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Elsevier
Journal on Chain and Network Science;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Wageningen Academic Publishers
